bugged_date;receipt_date;deputy_id;political_party;state_code;deputy_name;receipt_social_security_number;receipt_description;establishment_name;receipt_value
0;18/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4711846000190.0;Fuels and lubricants.;POSTO FLAMINGO;100
0;29/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;120
0;28/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;120
0;10/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;120
0;16/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;145
0;05/12/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;100
0;21/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;100
0;14/11/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008343.0;Fuels and lubricants.;POSTO IPIRANGA AGUAS CLARAS;130
0;11/12/2013 00:00;1772;PSB;SP;Abelardo Camarinha;7129219000134.0;Fuels and lubricants.;POSTO J P;153
0;15/12/2013 00:00;1772;PSB;SP;Abelardo Camarinha;7129219000134.0;Fuels and lubricants.;POSTO J P;100
0;19/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;7129219000134.0;Fuels and lubricants.;POSTO JPC;100
0;04/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;7129219000134.0;Fuels and lubricants.;POSTO JPC;100
0;11/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597006308.0;Fuels and lubricants.;POSTO PETROBRAS 311 SUL;100
0;26/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597006057.0;Fuels and lubricants.;POSTO PETROBRAS CRUZEIRO;120
0;15/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;115
0;27/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;150
0;01/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;95
0;07/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;142
0;07/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;164
0;02/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;135
0;14/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;100
0;20/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;120
